Month,Python: (Worldwide)
2004-01,44
2004-02,46
2004-03,44
2004-04,45
2004-05,44
2004-06,43
2004-07,43
2004-08,42
2004-09,45
2004-10,44
2004-11,40
2004-12,42
2005-01,44
2005-02,44
2005-03,42
2005-04,40
2005-05,44
2005-06,43
2005-07,42
2005-08,42
2005-09,41
2005-10,47
2005-11,42
2005-12,40
2006-01,41
2006-02,40
2006-03,40
2006-04,39
2006-05,38
2006-06,38
2006-07,38
2006-08,39
2006-09,41
2006-10,40
2006-11,39
2006-12,37
2007-01,38
2007-02,38
2007-03,39
2007-04,38
2007-05,39
2007-06,38
2007-07,38
2007-08,38
2007-09,38
2007-10,39
2007-11,38
2007-12,36
2008-01,35
2008-02,35
2008-03,35
2008-04,38
2008-05,37
2008-06,36
2008-07,36
2008-08,35
2008-09,36
2008-10,36
2008-11,37
2008-12,36
2009-01,36
2009-02,39
2009-03,40
2009-04,38
2009-05,36
2009-06,36
2009-07,37
2009-08,36
2009-09,36
2009-10,37
2009-11,37
2009-12,33
2010-01,34
2010-02,36
2010-03,37
2010-04,36
2010-05,36
2010-06,36
2010-07,33
2010-08,34
2010-09,35
2010-10,35
2010-11,36
2010-12,33
2011-01,34
2011-02,35
2011-03,37
2011-04,36
2011-05,36
2011-06,35
2011-07,35
2011-08,36
2011-09,35
2011-10,37
2011-11,36
2011-12,34
2012-01,34
2012-02,38
2012-03,38
2012-04,37
2012-05,36
2012-06,36
2012-07,36
2012-08,37
2012-09,38
2012-10,40
2012-11,39
2012-12,34
2013-01,38
2013-02,41
2013-03,41
2013-04,42
2013-05,41
2013-06,39
2013-07,40
2013-08,41
2013-09,42
2013-10,46
2013-11,48
2013-12,41
2014-01,42
2014-02,44
2014-03,46
2014-04,46
2014-05,44
2014-06,42
2014-07,46
2014-08,41
2014-09,47
2014-10,50
2014-11,48
2014-12,43
2015-01,45
2015-02,51
2015-03,51
2015-04,51
2015-05,48
2015-06,52
2015-07,50
2015-08,47
2015-09,55
2015-10,57
2015-11,56
2015-12,52
2016-01,57
2016-02,66
2016-03,66
2016-04,65
2016-05,64
2016-06,66
2016-07,60
2016-08,61
2016-09,69
2016-10,72
2016-11,76
2016-12,69
2017-01,73
2017-02,84
2017-03,90
2017-04,84
2017-05,82
2017-06,84
2017-07,80
2017-08,81
2017-09,89
2017-10,93
2017-11,98
2017-12,88
2018-01,91
2018-02,99
2018-03,96
2018-04,97
2018-05,98
2018-06,97
2018-07,94
2018-08,98
2018-09,100
