ice cream,baking pan,container,knife,cutting board,whisk,oven mitt,tax,baking powder,flour,cooking oil,vanilla extract,pasta,sugar,corn starch,baking soda,bowl,butter,onion,chicken,minced meat,bread,energy bar,game,sandwich,wall scroll,manga,mystery bag,food,plushie,curry pan,uber
3.99,18.69,3.75,2.5,5.0,2.0,6.0,6.04,5.29,3.99,3.49,2.79,4.38,1.79,1.49,0.99,9.39,3.99,2.7800000000000002,8.55,5.29,1.99,2.65,11.37,7.76,28.51,5.0,80.0,38.31,48.0,5.0,26.5
dairy queen,3.99,ice cream,3.99
dollar store,31.76,baking pan,11.0,container,3.75,knife,2.5,cutting board,5.0,whisk,2.0,oven mitt,6.0,tax,1.51
safeway,64.74,baking powder,5.29,flour,3.99,cooking oil,3.49,vanilla extract,2.79,pasta,4.38,sugar,1.79,corn starch,1.49,baking soda,0.99,bowl,9.39,baking pan,7.69,butter,3.99,onion,2.7800000000000002,chicken,8.55,minced meat,5.29,bread,1.99,tax,0.85
vietnamese sub,2.65,energy bar,2.65
steam,11.37,game,11.37
taste,7.76,sandwich,7.76
otafest,170.19,wall scroll,28.51,tax,3.6799999999999997,manga,5.0,mystery bag,80.0,plushie,48.0,curry pan,5.0
denny's,20.55,food,20.55
mcdonald's,17.76,food,17.76
uber,35.06,uber,17.94
